timestamp,counter,Latitude,Longitude,Snow Depth m,geometry
2017-04-14 14:30:52.5,100982,69.1239,-148.9312283,0.5698,POINT (423207.7860562163 7669387.023958243)
2017-04-14 14:30:53,100983,69.1239017,-148.9311866,0.5675,POINT (423209.4496912327 7669387.161213288)
2017-04-14 14:30:53.5,100984,69.1239017,-148.9311617,0.5293,POINT (423210.4395201961 7669387.130029086)
2017-04-14 14:30:54.25,100985,69.1239067,-148.9311167,0.4782,POINT (423212.2459245818 7669387.63096752)
2017-04-14 14:30:54.75,100986,69.123905,-148.9311034,0.5781000000000001,POINT (423212.7686590158 7669387.424831357)
2017-04-14 14:30:55.25,100987,69.1239083,-148.9310817,0.44329999999999997,POINT (423213.6428682461 7669387.765470224)
2017-04-14 14:30:56,100988,69.123905,-148.931065,0.3945,POINT (423214.2951420679 7669387.376742305)
2017-04-14 14:30:56.5,100989,69.1239117,-148.9310234,0.3839,POINT (423215.9723570899 7669388.071421439)
2017-04-14 14:30:57,100990,69.1239133,-148.930975,0.3323,POINT (423217.9019790255 7669388.189146103)
2017-04-14 14:30:57.75,100991,69.1239133,-148.930925,0.3245,POINT (423219.8895865256 7669388.126534524)
2017-04-14 14:30:58.25,100992,69.12391,-148.9309033,0.3046,POINT (423220.7406219637 7669387.731547263)
2017-04-14 14:30:59,100993,69.123905,-148.93085,0.2691,POINT (423222.8418575393 7669387.107511383)
2017-04-14 14:30:59.5,100994,69.1239067,-148.9308317,0.4422,POINT (423223.5752906381 7669387.274076953)
2017-04-14 14:31:00,100995,69.1239133,-148.9308117,0.3922,POINT (423224.3935052864 7669387.984662684)
2017-04-14 14:31:00.5,100996,69.123915,-148.9307616,0.3107,POINT (423226.3910563706 7669388.111411313)
2017-04-14 14:31:01,100997,69.123915,-148.93074,0.5231,POINT (423227.2497028203 7669388.084365903)
2017-04-14 14:31:01.5,100998,69.12391,-148.9307233,0.4693,POINT (423227.896010478 7669387.506161505)
2017-04-14 14:31:02,100999,69.1239067,-148.93071,0.44659999999999994,POINT (423228.4131291375 7669387.121694468)
2017-04-14 14:31:02.75,101000,69.1239083,-148.9306683,0.4593,POINT (423230.0764113662 7669387.247817693)
2017-04-14 14:31:03.25,101001,69.1239117,-148.9306183,0.5686,POINT (423232.0759551571 7669387.564176318)
2017-04-14 14:31:03.75,101002,69.1239133,-148.9305983,0.5481,POINT (423232.8766150133 7669387.717470367)
2017-04-14 14:31:04.25,101003,69.1239083,-148.9305683,0.5143,POINT (423234.0516278574 7669387.122616019)
2017-04-14 14:31:04.75,101004,69.1239067,-148.9305517,0.43270000000000003,POINT (423234.7058972683 7669386.923498916)
2017-04-14 14:31:05.25,101005,69.123915,-148.9305134,0.29960000000000003,POINT (423236.2575405941 7669387.80065775)
2017-04-14 14:31:05.75,101006,69.12391,-148.930495,0.45049999999999996,POINT (423236.9714290571 7669387.220327457)
2017-04-14 14:31:06.25,101007,69.1239117,-148.9304634,0.4227,POINT (423238.233564752 7669387.37024673)
2017-04-14 14:31:06.75,101008,69.123915,-148.9304483,0.4022,POINT (423238.8454058926 7669387.719157284)
2017-04-14 14:31:07.5,101009,69.123915,-148.9303684,0.25239999999999996,POINT (423242.0216031886 7669387.61913205)
2017-04-14 14:31:08,101010,69.123915,-148.9301933,0.2286,POINT (423248.9822061608 7669387.399942292)
2017-04-14 14:31:08.5,101011,69.12392,-148.9301666,0.4288,POINT (423250.0611370418 7669387.923815675)
2017-04-14 14:31:09.25,101012,69.1239183,-148.9301333,0.4732,POINT (423251.3789174121 7669387.692653473)
2017-04-14 14:31:09.75,101013,69.1239217,-148.93013,0.4521,POINT (423251.5220320735 7669388.067483216)
2017-04-14 14:31:10.25,101014,69.1239183,-148.9301134,0.4632,POINT (423252.169985304 7669387.667744735)
2017-04-14 14:31:10.75,101015,69.1239167,-148.930085,0.47100000000000003,POINT (423253.2933313422 7669387.453862744)
2017-04-14 14:31:11.25,101016,69.1239117,-148.9300434,0.5265,POINT (423254.9294740919 7669386.844499149)
2017-04-14 14:31:11.75,101017,69.1239167,-148.9300233,0.6651,POINT (423255.7460395828 7669387.37663591)
2017-04-14 14:31:12.25,101018,69.123915,-148.92997,0.888,POINT (423257.8588639556 7669387.120444732)
2017-04-14 14:31:12.75,101019,69.1239217,-148.92991,1.1640000000000001,POINT (423260.2675052898 7669387.79212503)
2017-04-14 14:31:13.25,101020,69.1239217,-148.929865,0.9009999999999999,POINT (423262.056352188 7669387.735805632)
